ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000133250.9	1.0451	NaN	NaN	NaN	0.5629	NaN	NaN	NaN
ENSG00000245261.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.6545
ENSG00000135049.11	-0.7850	NaN	NaN	NaN	-0.2216	NaN	NaN	NaN
ENSG00000225128.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000230071.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000073734.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000226155.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000270580.1	NaN	NaN	NaN	NaN	NaN	NaN	-1.0221	0.0089
ENSG00000167395.10	-1.2407	NaN	-0.7997	NaN	-2.3700	NaN	NaN	NaN
ENSG00000104312.6	NaN	NaN	NaN	NaN	-0.7095	NaN	NaN	NaN
ENSG00000227646.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.7799
ENSG00000264166.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000196141.8	-0.7961	0.2813	0.3118	NaN	-0.0721	NaN	NaN	NaN
ENSG00000270018.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000160613.8	-1.1476	NaN	NaN	NaN	-1.2471	NaN	NaN	NaN
ENSG00000236795.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000236320.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000121440.10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000246228.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000145014.13	0.4963	NaN	2.5529	NaN	-0.0868	NaN	NaN	NaN
ENSG00000182450.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000163738.14	NaN	NaN	NaN	NaN	-1.4542	NaN	NaN	NaN
ENSG00000016602.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000266947.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000127080.5	NaN	NaN	NaN	NaN	0.7883	NaN	NaN	NaN
ENSG00000272963.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000201394.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000160199.10	NaN	NaN	NaN	NaN	0.1003	NaN	NaN	NaN
ENSG00000148516.17	-0.9549	NaN	NaN	NaN	-0.2990	NaN	NaN	NaN
ENSG00000256586.1	NaN	NaN	NaN	NaN	NaN	NaN	0.9555	NaN
ENSG00000083838.11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
