ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000204282.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.0574|0.00000	NaN|0.00000
ENSG00000173221.9	NaN|0.00000	NaN|0.00000	NaN|0.01610	NaN|0.00000	-1.4471|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000203809.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000114019.10	0.1154|0.04110	NaN|0.26683	NaN|0.00000	NaN|0.00000	0.1982|0.26965	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000266988.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000099204.14	-0.9066|0.00000	NaN|0.00000	1.6879|15.87510	NaN|0.00000	-0.1756|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000224292.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.42221
ENSG00000241357.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.14831
ENSG00000135083.10	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-1.3492|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000260569.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000229622.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000264314.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000261502.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000246375.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000251451.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000156253.2	NaN|0.00000	NaN|0.00000	NaN|0.20276	NaN|0.00000	1.2787|2.56338	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000177646.13	-0.7643|0.00000	NaN|0.00000	NaN|0.63213	NaN|0.00000	0.7892|8.42477	NaN|0.00000	NaN|0.00000	-0.7040|0.00000
ENSG00000196954.8	-3.6070|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.9549|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000186523.10	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.42221	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000220091.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000004142.7	-0.3402|0.00000	NaN|0.00000	0.5629|0.39699	NaN|0.00000	1.4963|5.21414	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000270181.1	-0.7997|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.1069|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000254352.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000164609.5	NaN|0.00000	NaN|0.00000	NaN|0.20276	NaN|0.00000	-1.5102|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000047249.12	NaN|0.00000	NaN|0.06287	NaN|0.20276	NaN|0.00000	0.3949|2.32022	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000180525.9	NaN|0.53137	NaN|0.00000	-2.0545|0.00000	NaN|0.00000	-0.7326|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000105723.7	-0.1476|0.00000	-0.8846|0.00000	-0.4955|0.00000	NaN|0.00000	1.4739|5.43215	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000115806.8	-0.4915|0.00000	NaN|0.00000	-0.7756|0.00000	NaN|0.00000	-0.9319|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000111269.2	NaN|0.00000	NaN|0.13703	NaN|0.01610	NaN|0.00000	-0.5520|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000166831.4	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.7326|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000259692.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000108176.10	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-1.3099|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000175189.3	NaN|0.00000	NaN|0.00000	NaN|0.42221	NaN|0.00000	-1.6501|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000172493.16	-2.4955|0.00000	NaN|0.00000	0.5129|0.82877	NaN|0.00000	-0.3042|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000256771.2	NaN|0.00000	NaN|0.00000	NaN|0.13703	NaN|0.00000	-0.7850|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000231987.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000206144.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000235231.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.07422	2.1254|3.20457
ENSG00000130167.9	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000124224.12	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.5154|0.94543	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000265371.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000047457.9	-1.2665|0.00000	NaN|0.20276	-1.5805|0.00000	NaN|0.00000	-0.7565|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000239024.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000272923.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000141858.7	0.1479|0.08062	4.7593|4.77936	0.4804|0.30152	NaN|0.00000	4.4963|5.83981	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000062370.12	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.2930|0.16320	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000153721.13	-0.7914|0.00000	-0.5168|0.00000	-0.8204|0.00000	NaN|0.00000	-0.1022|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000257403.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.8524|0.55023
ENSG00000203832.6	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000144567.6	-0.3864|0.00000	3.0223|2.71678	0.0184|0.01692	NaN|0.00000	-0.0772|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000248714.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.42221
ENSG00000270808.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000207622.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000196154.7	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.72695	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000236341.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000244349.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000049768.10	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000156011.12	NaN|0.00000	NaN|0.00000	-0.1476|0.00000	NaN|0.00000	0.0744|0.36246	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000197208.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-2.1018|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000222019.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000265057.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000103449.7	-1.8356|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.1476|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000164885.8	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	1.9228|2.13905	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000253133.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-1.7326|0.00000
ENSG00000105402.3	0.2930|0.16320	NaN|0.00000	1.9333|5.28394	NaN|0.00000	0.4992|3.80112	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000207741.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000129493.10	-0.9131|0.00000	NaN|0.53137	NaN|0.00000	NaN|0.00000	-1.3331|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000175093.4	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000100865.10	NaN|0.20276	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.5626|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000261079.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000184903.5	NaN|0.00000	1.6367|2.57023	NaN|0.00000	NaN|0.00000	-0.5173|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000146378.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000257500.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000151693.5	-1.1476|0.00000	NaN|0.00000	0.6179|0.42794	NaN|0.00000	0.2913|5.72716	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000140832.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000258601.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000130560.4	-0.8846|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	1.4464|10.16966	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000260468.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-1.4695|0.00000
ENSG00000146757.9	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.5399|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000112659.9	-0.5399|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.2013|0.50622	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000199730.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.53137	NaN|0.00000
ENSG00000231705.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000152128.13	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
